category,scientific_name,common_names,conservation_status
Vascular Plant,Rumex patientia,Patience Dock,Safe
Vascular Plant,Portulaca oleracea,Common Purslane,Safe
Vascular Plant,Celastrus orbiculatus,Oriental Bittersweet,Safe
Vascular Plant,Celastrus scandens,Climbing Bittersweet,Safe
Vascular Plant,Euonymus alatus,"Winged Euonymus, Winged Spindle-Tree",Safe
Vascular Plant,Euonymus americana,"Strawberry Bush, Strawberrybush",Safe
Vascular Plant,Euonymus atropurpurea,"Eastern Wahoo, Wahoo",Safe
Vascular Plant,Euonymus atropurpureus,Wahoo,Safe
Vascular Plant,Euonymus fortunei,"Climbing Euonymus, Winter-Creeper",Safe
Vascular Plant,Euonymus obovata,Running Strawberry Bush,Safe
Vascular Plant,Parnassia asarifolia,"Grass-Of-Parnassus, Kidneyleaf Grass-Of-Parnassus",Safe
Vascular Plant,Parnassia glauca,"Fen Grass Of Parnassus, Fen Grass-Of-Parnassus",Safe
Vascular Plant,Parnassia grandifolia,"Largeleaf Grass Of Parnassus, Large-Leaved Grass-Of-Parnassus",Species of Concern
Vascular Plant,Commelina communis,"Asiatic Dayflower, Common Dayflower",Safe
Vascular Plant,Commelina diffusa,Dayflower,Safe
Vascular Plant,Commelina erecta,"Erect Dayflower, Slender Dayflower",Safe
Vascular Plant,Commelina virginica,"Virginia Dayflower, Virginia Day-Flower",Safe
Vascular Plant,Murdannia keisak,Aneilema,Safe
Vascular Plant,Tradescantia ohiensis,Ohio Spiderwort,Safe
Vascular Plant,Tradescantia subaspera,Zigzag Spiderwort,Safe
Vascular Plant,Tradescantia subaspera var. montana,Mountain Spiderwort,Safe
Vascular Plant,Tradescantia subaspera var. subaspera,Spiderwort,Safe
Vascular Plant,Tradescantia virginiana,Virginia Spiderwort,Safe
Vascular Plant,Pontederia cordata,Pickerelweed,Safe
Vascular Plant,Cornus alternifolia,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",Safe
Vascular Plant,Cornus amomum,Silky Dogwood,Safe
Vascular Plant,Cornus florida,Flowering Dogwood,Safe
Vascular Plant,Cornus foemina,"Stiff Dogwood, Swamp Dogwood",Safe
Vascular Plant,Decumaria barbara,Climbing Hydrangea,Safe
Vascular Plant,Hydrangea arborescens,Wild Hydrangea,Safe
Vascular Plant,Hydrangea cinerea,Gray-Leaf Hydrangea,Safe
Vascular Plant,Hydrangea paniculata,"Hydrangea, Panicle Hydrangea",Safe
Vascular Plant,Hydrangea radiata,"Snowy Hydrangea, White-Leaf Hydrangea",Safe
Vascular Plant,Philadelphus hirsutus,Small-Flowered Hairy Mock-Orange,Safe
Vascular Plant,Philadelphus inodorus,Scentless Mockorange,Safe
Vascular Plant,Philadelphus inodorus var. grandiflorus,Large-Flowered Hairy Mock-Orange,Safe
Vascular Plant,Philadelphus inodorus var. strigosus,Mock-Orange,Safe
Vascular Plant,Philadelphus pubescens var. pubescens,Hoary Mockorange,Safe
Vascular Plant,Philadelphus sharpianus,Sharp's Mock-Orange,Safe
Vascular Plant,Nyssa sylvatica,"Black Gum, Black Tupelo",Safe
Vascular Plant,Staphylea trifolia,"American Bladdernut, Bladdernut",Safe
Vascular Plant,Cucumis melo,Canteloupe,Safe
Vascular Plant,Cucurbita pepo,Field Pumpkin,Safe
Vascular Plant,Melothria pendula,"Creeping Cucumber, Melonette",Safe
Vascular Plant,Sicyos angulatus,Bur Cucumber,Safe
Vascular Plant,Dioscorea oppositifolia,Chinese Yam,Safe
Vascular Plant,Dioscorea quaternata,Wild Yam,Safe
Vascular Plant,Dioscorea villosa,Wild Yam,Safe
Vascular Plant,Aletris farinosa,"Colic Root, White-Tubed Colicroot",Safe
Vascular Plant,Sambucus canadensis,"American Elder, Common Elderberry",Safe
Vascular Plant,Sambucus nigra ssp. canadensis,"American Black Elderberry, Blue Elder, Common Elderberry, Elder, Elderberry, Mexican Elderberry",Safe
Vascular Plant,Sambucus racemosa,"European Red Elder, Red Elderberry, Scarlet Elderberry",Safe
Vascular Plant,Sambucus racemosa var. pubens,Red-Berried Elder,Safe
Vascular Plant,Sambucus racemosa var. racemosa,"Bunchberry Elder, Red Elderberry",Safe
Vascular Plant,Viburnum acerifolium,"Maple-Leaf Viburnum, Maple-Leaved Viburnum",Safe
Vascular Plant,Viburnum dentatum,"Arrow-Wood, Southern Arrow-Wood",Safe
Vascular Plant,Viburnum lantana,"Way-Faring Tree, Wayfaring-Tree",Safe
Vascular Plant,Viburnum lantanoides,"Hobblebush, Witchhobble",Safe
Vascular Plant,Viburnum lentago,"Nannyberry, Nanny-Berry",Safe
Vascular Plant,Viburnum nudum var. cassinoides,"Northern Wild-Raisin, Wild Raisin",Safe
Vascular Plant,Viburnum opulus,"Guelder-Rose Viburnum, Highbush Cranberry",Safe
Vascular Plant,Viburnum plicatum,Chinese Viburnum,Safe
Vascular Plant,Viburnum prunifolium,"Smooth Blackhaw, Smooth Black-Haw",Safe
Vascular Plant,Viburnum rafinesquianum,"Downy Arrowwood, Downy Arrow-Wood",Safe
Vascular Plant,Viburnum recognitum,"Northern Arrow-Wood, Southern Arrowwood",Safe
Vascular Plant,Viburnum rufidulum,Rusty Blackhaw,Safe
Vascular Plant,Lonicera canadensis,"American Fly-Honeysuckle, Canadian Honeysuckle",Safe
Vascular Plant,Lonicera flava,Yellow Honeysuckle,Safe
Vascular Plant,Lonicera fragrantissima,Fragrant Honeysuckle,Safe
Vascular Plant,Lonicera japonica,Japanese Honeysuckle,Safe
Vascular Plant,Lonicera korolkowii,Small-Leaved Honeysuckle,Safe
Vascular Plant,Lonicera maackii,Amur Honeysuckle,Safe
Vascular Plant,Lonicera morrowii,"Morrow Honeysuckle, Morrow's Honeysuckle",Safe
Vascular Plant,Lonicera sempervirens,Trumpet Honeysuckle,Safe
Vascular Plant,Lonicera standishii,Standish's Honeysuckle,Safe
Vascular Plant,Lonicera tatarica,"Bush Honeysuckle, Tatarian Honeysuckle",Safe
Vascular Plant,Symphoricarpos orbiculatus,"Coralberry, Coral-Berry",Safe
Vascular Plant,Triosteum angustifolium,Yellowfruit Horsegentian,Safe
Vascular Plant,Triosteum aurantiacum,"Coffee Tinker's-Weed, Horse-Gentian",Safe
Vascular Plant,Triosteum perfoliatum,Feverwort,Safe
Vascular Plant,Diervilla lonicera,Northern Bush-Honey-Suckle,Safe
Vascular Plant,Diervilla sessilifolia,"Sessile-Leaved Bush-Honey-Suckle, Southern Bush-Honeysuckle",Safe
Vascular Plant,Weigela florida,Weigela,Safe
Vascular Plant,Dipsacus fullonum,Teasel,Safe
Vascular Plant,Linnaea borealis,Twinflower,Safe
Vascular Plant,Valerianella locusta,Lewiston Cornsalad,Safe
Vascular Plant,Valerianella radiata,"Beaked Corn-Salad, Corn Salad",Safe
Vascular Plant,Valerianella umbilicata,"Corn Salad, Navel-Shape Corn-Salad",Safe
Vascular Plant,Equisetum arvense,Field Horsetail,Safe
Vascular Plant,Equisetum hyemale var. affine,Scouringrush Horsetail,Safe
Vascular Plant,Impatiens capensis,"Orange Jewelweed, Touch-Me-Not, Spotted Jewel-Weed",Safe
Vascular Plant,Impatiens pallida,"Pale Jewel-Weed, Pale Jewelweed, Touch Me-Not",Safe
Vascular Plant,Clethra acuminata,Mountain Pepper-Bush,Safe
Vascular Plant,Galax urceolata,Galax,Safe
Vascular Plant,Shortia galacifolia,Oconee Bells,Species of Concern
Vascular Plant,Diospyros virginiana,Persimmon,Safe
Vascular Plant,Chimaphila maculata,"Spotted Wintergreen, Striped Pipsissewa",Safe
Vascular Plant,Epigaea repens,Trailing Arbutus,Safe
Vascular Plant,Gaultheria procumbens,"Teaberry, Wintergreen",Safe
Vascular Plant,Gaylussacia baccata,Black Huckleberry,Safe
Vascular Plant,Gaylussacia ursina,Bear Huckleberry,Safe
Vascular Plant,Kalmia latifolia,Mountain Laurel,Safe
Vascular Plant,Leiophyllum buxifolium,Sand Myrtle,Safe
Vascular Plant,Leucothoe fontanesiana,"Dog-Hobble, Highland Dog-Hobble",Safe
Vascular Plant,Leucothoe recurva,"Deciduous Leucothoe, Recurved Dog-Hobble",Safe
Vascular Plant,Lyonia ligustrina,Maleberry,Safe
Vascular Plant,Menziesia pilosa,Minniebush,Safe
Vascular Plant,Monotropa hypopithys,"American Pinesap, Pine-Sap",Safe
Vascular Plant,Monotropa uniflora,"Indian Pipe, Indian-Pipe",Species of Concern
Vascular Plant,Monotropsis odorata,"Sweet Pinesap, Sweet Pine-Sap",Species of Concern
Vascular Plant,Oxydendrum arboreum,Sourwood,Safe
Vascular Plant,Pieris floribunda,"Mountain Fetter-Bush, Mountain Pieris",Safe
Vascular Plant,Rhododendron,"Azaleas, Rhododendron",Safe
Vascular Plant,Rhododendron arborescens,"Smooth Azalea, Sweet Azalea",Safe
Vascular Plant,Rhododendron calendulaceum,Flame Azalea,Safe
Vascular Plant,Rhododendron canescens,Mountain Azalea,Safe
Vascular Plant,Rhododendron carolinianum,Carolina Azalea,Safe
Vascular Plant,Rhododendron catawbiense,Catawba Rhododendron,Safe
Vascular Plant,Rhododendron cumberlandense,Cumberland Rhododendron,Safe
Vascular Plant,Rhododendron maximum,"Great Laurel, Rosebay Rhododendron",Safe
Vascular Plant,Rhododendron minus,"Carolina Rhododendron, Small-Leaved Rhododendron",Safe
Vascular Plant,Rhododendron periclymenoides,"Pink Azalea, Pinxter-Bush",Safe
Vascular Plant,Rhododendron prinophyllum,Pink Azalea,Safe
Vascular Plant,Rhododendron vaseyi,Pink-Shell Azalea,Safe
Vascular Plant,Rhododendron viscosum,"Clammy Azalea, Swamp Azalea",Safe
Vascular Plant,Rhododendron X bakeri,Cumberland Azalea,Safe
Vascular Plant,Vaccinium angustifolium,"Late Lowbush Blueberry, Lowbush Blueberry",Safe
Vascular Plant,Vaccinium arboreum,"Farkleberry, Sparkleberry",Safe
Vascular Plant,Vaccinium corymbosum,Tall Woodland Blueberry,Safe
Vascular Plant,Vaccinium erythrocarpum,"Mountain Cranberry-Bush, Southern Mountain Cranberry",Safe
Vascular Plant,Vaccinium fuscatum,Black Highbush Blueberry,Safe
Vascular Plant,Vaccinium hirsutum,Hairy Blueberry,Species of Concern
Vascular Plant,Vaccinium macrocarpon,Cranberry,Safe
Vascular Plant,Vaccinium myrtilloides,"Sour-Top Blueberry, Velvetleaf Blueberry, Velvetleaf Huckleberry",Safe
Vascular Plant,Vaccinium pallidum,"Early Lowbush Blueberry, Pale Lowbush Blueberry",Safe
Vascular Plant,Vaccinium stamineum,Deerberry,Safe
Vascular Plant,Phlox amoena,"Hairy Phlox, Narrow-Leaved Phlox",Safe
Vascular Plant,Phlox amplifolia,"Broad-Leaved Phlox, Large-Leaved Phlox",Safe
Vascular Plant,Phlox carolina ssp. alta,Thickleaf Phlox,Safe
Vascular Plant,Phlox divaricata,"Blue Phlox, Wild Blue Phlox",Safe
Vascular Plant,Phlox drummondii,Drummond Phlox,Safe
Vascular Plant,Phlox glaberrima ssp. triflora,Smooth Phlox,Safe
Vascular Plant,Phlox latifolia,"Mountain Phlox, Wideflower Phlox",Safe
Vascular Plant,Phlox maculata ssp. pyramidalis,Wild Sweetwilliam,Safe
Vascular Plant,Phlox ovata,Mountain Phlox,Safe
Vascular Plant,Phlox paniculata,Summer Phlox,Safe
Vascular Plant,Phlox stolonifera,Creeping Phlox,Safe
Vascular Plant,Phlox subulata,Moss Phlox,Safe
Vascular Plant,Polemonium reptans,"Greek Valerian, Greek Valerian, Jacob's Ladder",Safe
Vascular Plant,Anagallis arvensis,Scarlet Pimpernel,Safe
Vascular Plant,Anagallis minima,Chaffweed,Safe
Vascular Plant,Dodecatheon meadia,"Blazing Star, Shootingstar",Safe
Vascular Plant,Lysimachia ciliata,"Ciliate Loosestrife, Fringed Loosestrife",Safe
Vascular Plant,Lysimachia fraseri,Fraser's Loosestrife,Species of Concern
Vascular Plant,Lysimachia hybrida,"Intermediate Loosestrife, Lance-Leaf Loosestrife",Safe
Vascular Plant,Lysimachia lanceolata,"Lance-Leaf Loosestrife, Narrow-Leaved Loosestrife",Safe
Vascular Plant,Lysimachia nummularia,"Creeping Jennie, Moneywort",Safe
Vascular Plant,Lysimachia quadrifolia,Whorled Loosestrife,Safe
Vascular Plant,Lysimachia terrestris,Earth Loosestrife,Safe
Vascular Plant,Lysimachia tonsa,"Smooth Loosestrife, Southern Loosestrife",Safe
Vascular Plant,Samolus valerandi ssp. parviflorus,Samolus,Safe
Vascular Plant,Trientalis borealis,Star-Flower,Safe
Vascular Plant,Sarracenia purpurea,Purple Pitcherplant,Safe
Vascular Plant,Halesia tetraptera var. monticola,Silverbell,Safe
Vascular Plant,Styrax grandifolius,Bigleaf Snowbell,Safe
Vascular Plant,Symplocos tinctoria,"Horse-Sugar, Sweetleaf",Safe
Vascular Plant,Stewartia ovata,"Mountain Camellia, Mountain Stewartia",Safe
Vascular Plant,Albizia julibrissin,"Mimosa, Silk Tree",Safe
Vascular Plant,Amorpha fruticosa,"False Indigo, False Indigo-Bush",Safe
Vascular Plant,Amorpha georgiana,Georgia Leadplant,Safe
Vascular Plant,Amorpha glabra,"Smooth False Indigo, Smooth Indigobush",Safe
Vascular Plant,Amphicarpaea bracteata,"American Hog-Peanut, Hog-Peanut",Safe
Vascular Plant,Apios americana,"American Groundnut, Ground-Nut",Safe
Vascular Plant,Astragalus canadensis,Milk Vetch,Safe
Vascular Plant,Baptisia tinctoria,"Wild Indigo, Yellow Wild-Indigo",Safe
Vascular Plant,Centrosema virginianum,"Butterfly-Pea, Coastal Butterfly-Pea",Safe
Vascular Plant,Cercis canadensis,"Eastern Redbud, Redbud",Safe
Vascular Plant,Chamaecrista fasciculata,"Partridge-Pea, Prairie Senna",Safe
Vascular Plant,Chamaecrista fasciculata var. fasciculata,"Partridge Pea, Sleepingplant",Safe
Vascular Plant,Chamaecrista nictitans ssp. nictitans var. nictitans,Partridge Pea,Safe
Vascular Plant,Cladrastis kentukea,Yellowwood,Safe
Vascular Plant,Clitoria mariana,"Butterfly-Pea, Maryland Butterfly-Pea",Safe
Vascular Plant,Coronilla varia,"Common Crown-Vetch, Crown-Vetch",Safe
Vascular Plant,Crotalaria purshii,"Pursh's Rattlebox, Rattlebox",Safe
Vascular Plant,Crotalaria sagittalis,Arrowhead Rattlebox,Safe
Vascular Plant,Cytisus scoparius,"Scotch Broom, Scotch-Broom",Safe
Vascular Plant,Desmanthus illinoensis,Prairie Bundleflower,Safe
Vascular Plant,Desmodium canescens,"Hoary Tick-Treefoil, Tick-Trefoil",Safe
Vascular Plant,Desmodium ciliare,"Hairy Small-Leaved Tick-Treefoil, Small-Leaved Tick-Trefoil",Safe
Vascular Plant,Desmodium cuspidatum,"Tick-Trefoil, Toothed Tick-Treefoil",Safe
Vascular Plant,Desmodium glabellum,"Dillen Tick-Trefoil, Tick-Trefoil",Safe
Vascular Plant,Desmodium glutinosum,"Large Tick-Trefoil, Whorled Tick-Trefoil",Safe
Vascular Plant,Desmodium laevigatum,"Smooth Tick-Treefoil, Smooth Tick-Trefoil",Safe
Vascular Plant,Desmodium marilandicum,"Maryland Tick-Treefoil, Narrow Tick-Trefoil",Safe
Vascular Plant,Desmodium nudiflorum,"Bare-Stemmed Tick-Treefoil, Naked-Flowered Tick-Trefoil",Safe
Vascular Plant,Desmodium nuttallii,"Nuttall Tick-Trefoil, Nuttall's Tick-Trefoil",Safe
Vascular Plant,Desmodium ochroleucum,Cream Ticktrefoil,Safe
Vascular Plant,Desmodium paniculatum var. paniculatum,Panicledleaf Ticktrefoil,Safe
Vascular Plant,Desmodium pauciflorum,"Fewflower Tick-Trefoil, Leafy Tick-Trefoil",Safe
Vascular Plant,Desmodium perplexum,"Perplexed Tick-Trefoil, Tick-Trefoil",Safe
Vascular Plant,Desmodium rotundifolium,"Prostrate Tick-Treefoil, Prostrate Tick-Trefoil",Safe
Vascular Plant,Desmodium viridiflorum,"Tick-Trefoil, Velvety Tick-Treefoil",Safe
Vascular Plant,Galactia regularis,"Eastern Milk-Pea, Milk Pea",Safe
Vascular Plant,Galactia volubilis,Downy Milkpea,Safe
Vascular Plant,Gleditsia triacanthos,"Honeylocust, Honey-Locust",Safe
Vascular Plant,Gymnocladus dioicus,Kentucky Coffee-Tree,Safe
Vascular Plant,Kummerowia stipulacea,Korean Bush-Clover,Safe
Vascular Plant,Kummerowia striata,Japanese Bush-Clover,Safe
Vascular Plant,Laburnum anagyroides,Laburnum,Safe
Vascular Plant,Lathyrus latifolius,"Broad-Leaf Peavine, Everlasting Pea",Safe
Vascular Plant,Lathyrus venosus var. intonsus,Veiny Pea,Safe
Vascular Plant,Lespedeza bicolor,"Japanese Lespedeza, Shrubby Bushclover",Safe
Vascular Plant,Lespedeza capitata,"Round-Head Bush-Clover, Round-Headed Bush Clover",Safe
Vascular Plant,Lespedeza cuneata,"Chinese Bushclover, Cuneate Bush-Clover",Safe
Vascular Plant,Lespedeza frutescens,Shrubby Lespedeza,Safe
Vascular Plant,Lespedeza hirta,Hairy Bush-Clover,Safe
Vascular Plant,Lespedeza intermedia,"Wand Bush-Clover, Wandlike Bush-Clover",Safe
Vascular Plant,Lespedeza procumbens,"Low Bush-Clover, Trailing Bush-Clover",Safe
Vascular Plant,Lespedeza repens,"Creeping Bush-Clover, Trailing Bush-Clover",Safe
Vascular Plant,Lespedeza stuevei,Tall Lespedeza,Safe
Vascular Plant,Lespedeza violacea,Violet Bush-Clover,Safe
Vascular Plant,Lespedeza virginica,Slender Bush-Clover,Safe
Vascular Plant,Lespedeza X nuttallii,Hybrid Bush-Clover,Safe
Vascular Plant,Lotus corniculatus,"Birdsfoot Trefoil, Lotus",Safe
Vascular Plant,Medicago lupulina,"Black Medic, Black Medick",Safe
Vascular Plant,Medicago sativa,Alfalfa,Safe
Vascular Plant,Melilotus albus,White Sweet-Clover,Safe
Vascular Plant,Melilotus officinalis,Yellow Sweet-Clover,Safe
Vascular Plant,Mimosa microphylla,"Littleleaf Sensitive-Briar, Sensitive Brier",Safe
Vascular Plant,Mimosa quadrivalvis var. angustata,"Little-Leaf Sensitive-Briars, Sesitive-Brier, Catclaw",Safe
Vascular Plant,Orbexilum onobrychis,Tall Psoralea,Safe
Vascular Plant,Orbexilum pedunculatum,Sampson's Snakeroot,Safe
Vascular Plant,Orbexilum pedunculatum var. pedunculatum,Sampson's Snakeroot,Safe
Vascular Plant,Orbexilum pedunculatum var. psoralioides,Sampson's Snakeroot,Safe
Vascular Plant,Phaseolus polystachios,Wild Bean,Safe
Vascular Plant,Pueraria montana var. lobata,Kudzu,Safe
Vascular Plant,Rhynchosia tomentosa,"Hairy Rhynchosia, Hairy Snoutbean",Safe
Vascular Plant,Robinia hispida var. hispida,Bristly Locust,Safe
Vascular Plant,Robinia hispida var. kelseyi,Kelsey's Locust,Safe
Vascular Plant,Robinia hispida var. rosea,Boynton's Locust,Safe
Vascular Plant,Robinia pseudoacacia,Black Locust,Safe
Vascular Plant,Robinia viscosa,Clammy Locust,Safe
Vascular Plant,Robinia viscosa var. hartwegii,Hartweg's Locust,Safe
Vascular Plant,Senna hebecarpa,"Tall Partridge-Pea, Wild Senna",Safe
Vascular Plant,Senna marilandica,"Maryland Senna, Wild Senna",Safe
Vascular Plant,Senna obtusifolia,"Java-Bean, Sicklepod",Safe
Vascular Plant,Strophostyles helvula,Trailing Fuzzybean,Safe
Vascular Plant,Strophostyles umbellata,"Pink Wild-Bean, Wild-Bean",Safe
Vascular Plant,Stylosanthes biflora,"Pencil Flower, Pencilflower",Safe
Vascular Plant,Tephrosia spicata,"Spike Goat's Rue, Spiked Hoary-Pea",Safe
Vascular Plant,Tephrosia virginiana,"Goat's Rue, Goat's-Rue",Safe
Vascular Plant,Thermopsis fraxinifolia,Bush-Pea,Safe
Vascular Plant,Thermopsis mollis var. mollis,Softbush-Pea,Safe
Vascular Plant,Thermopsis villosa,"Hairy Bush-Pea, Hairy False-Lupine",Safe
Vascular Plant,Trifolium arvense,Rabbitfoot Clover,Safe
Vascular Plant,Trifolium aureum,Yellow Or Hop-Clover,Safe
Vascular Plant,Trifolium campestre,"Low Hop Clover, Low Hop-Clover",Safe
Vascular Plant,Trifolium dubium,"Smaller Hop-Clover, Suckling Clover",Safe
Vascular Plant,Trifolium hybridum,Alsike Clover,Safe
Vascular Plant,Trifolium incarnatum,Crimson Clover,Safe
Vascular Plant,Trifolium pratense,Red Clover,Safe
Vascular Plant,Trifolium repens,White Clover,Safe
Vascular Plant,Vicia caroliniana,"Carolina Vetch, Carolina Wood Vetch",Safe
Vascular Plant,Vicia cracca ssp. cracca,Bird Vetch,Safe
Vascular Plant,Vicia sativa ssp. nigra,Common Vetch,Safe
Vascular Plant,Vicia villosa ssp. varia,Winter Vetch,Safe
Vascular Plant,Vicia villosa ssp. villosa,Hairy Vetch,Safe
Vascular Plant,Wisteria floribunda,Japanese Wisteria,Safe
Vascular Plant,Wisteria frutescens,"American Wisteria, Wisteria",Safe
Vascular Plant,Polygala ambigua,Whorled Milkwort,Safe
Vascular Plant,Polygala cruciata,"Crossleaf Milkwort, Cross-Leaved Milkwort",Safe
Vascular Plant,Polygala curtissii,"Curtiss Milkwort, Curtiss? Milkwort",Safe
Vascular Plant,Polygala paucifolia,"Fringed Polygala, Gay-Wing Milkwort",Safe
Vascular Plant,Polygala polygama,Racemed Milkwort,Safe
Vascular Plant,Polygala sanguinea,Field Milkwort,Safe
Vascular Plant,Polygala senega var. latifolia,Seneca Snakeroot,Safe
Vascular Plant,Polygala verticillata var. verticillata,Whorled Milkwort,Safe
Vascular Plant,Alnus serrulata,"Brook-Side Alder, Common Alder",Safe
Vascular Plant,Betula alleghaniensis var. alleghaniensis,Yellow Birch,Safe
Vascular Plant,Betula lenta,"Black Or Sweet Birch, Sweet Birch",Safe
Vascular Plant,Betula nigra,River Birch,Safe
Vascular Plant,Betula papyrifera var. cordifolia,Mountain Paper Birch,Safe
Vascular Plant,Betula pendula,European Weeping Birch,Safe
Vascular Plant,Carpinus caroliniana,"American Hornbeam, American Hornbean",Safe
Vascular Plant,Corylus americana,"American Hazel, American Hazelnut",Safe
Vascular Plant,Corylus cornuta,"Beaked Hazel, Beaked Hazelnut",Safe
Vascular Plant,Ostrya,Hophornbeam,Safe
Vascular Plant,Ostrya virginiana,"Eastern Hop-Hornbeam, Hop-Hornbeam",Safe
Vascular Plant,Castanea dentata,American Chestnut,Safe
Vascular Plant,Castanea mollissima,Chinese Chestnut,Safe
Vascular Plant,Castanea pumila,Allegheny Chinkapin,Safe
Vascular Plant,Fagus grandifolia,American Beech,Safe
Vascular Plant,Quercus,Oak,Safe
Vascular Plant,Quercus alba,White Oak,Safe
Vascular Plant,Quercus bicolor,Swamp White Oak,Safe
Vascular Plant,Quercus coccinea,Scarlet Oak,Safe
Vascular Plant,Quercus falcata,"Southern Red Oak, Spanish Oak",Safe
Vascular Plant,Quercus imbricaria,Shingle Oak,Safe
Vascular Plant,Quercus marilandica,Blackjack Oak,Safe
Vascular Plant,Quercus michauxii,Swamp Chestnut Oak,Safe
Vascular Plant,Quercus muehlenbergii,"Chinkapin Oak, Yellow Oak",Safe
Vascular Plant,Quercus palustris,Pin Oak,Safe
Vascular Plant,Quercus phellos,Willow Oak,Safe
Vascular Plant,Quercus prinus,Chestnut Oak,Safe
Vascular Plant,Quercus rubra var. ambigua,Northern Red Oak,Safe
Vascular Plant,Quercus shumardii,Shumard Oak,Safe
Vascular Plant,Quercus stellata,Post Oak,Safe
Vascular Plant,Quercus velutina,Black Oak,Safe
Vascular Plant,Quercus X saulii,Saul's Oak,Safe
Vascular Plant,Carya alba,Mockernut Hickory,Safe
Vascular Plant,Carya carolinae-septentrionalis,Carolina Shagbark Hickory,Safe
Vascular Plant,Carya cordiformis,"Bitternut Hickory, Bitter-Nut Hickory",Safe
Vascular Plant,Carya glabra,"Pignut Hickory, Sweet Pignut Hickory",Safe
Vascular Plant,Carya illinoinensis,Pecan,Safe
Vascular Plant,Carya laciniosa,Shellbark Hickory,Safe
Vascular Plant,Carya ovalis,"Red Hickory, Sweet Pignut Hickory",Safe
Vascular Plant,Carya ovata,"Shagbark Hickory, Shag-Bark Hickory",Safe
Vascular Plant,Carya pallida,"Pale Hickory, Sand Hickory",Safe
Vascular Plant,Juglans cinerea,"Butternut, White Walnut",Species of Concern
Vascular Plant,Juglans mandshurica,Manchu Walnut,Safe
Vascular Plant,Juglans nigra,Black Walnut,Safe
Vascular Plant,Comptonia peregrina,Sweet Fern,Safe
Vascular Plant,Amsonia tabernaemontana var. tabernaemontana,Eastern Bluestar,Safe
Vascular Plant,Apocynum androsaemifolium,Spreading Dogbane,Safe
Vascular Plant,Apocynum cannabinum,"Clasping-Leaf Dogbane, Indianhemp",Safe
Vascular Plant,Asclepias amplexicaulis,"Blunt-Leaved Milkweed, Clasping Milkweed",Safe
Vascular Plant,Asclepias exaltata,Poke Milkweed,Safe
Vascular Plant,Asclepias incarnata ssp. incarnata,Swamp Milkweed,Safe
Vascular Plant,Asclepias incarnata ssp. pulchra,Swamp Milkweed,Safe
Vascular Plant,Asclepias quadrifolia,"Four-Leaved Milkweed, Whorled Milkweed",Safe
Vascular Plant,Asclepias syriaca,"Common Milkweed, Kansas Milkweed",Safe
Vascular Plant,Asclepias tuberosa,"Butterfly-Weed, Butterfly Milkweed",Safe
Vascular Plant,Asclepias variegata,White Milkweed,Safe
Vascular Plant,Asclepias verticillata,Whorled Milkweed,Safe
Vascular Plant,Cynanchum laeve,Cynanchum,Safe
Vascular Plant,Matelea gonocarpos,"Angular-Fruited Milkvine, Climbing Milkweed",Safe
Vascular Plant,Matelea obliqua,Climbing Milkvine,Safe
Vascular Plant,Vinca major,Large Periwinkle,Safe
Vascular Plant,Vinca minor,Periwinkle,Safe
Vascular Plant,Bartonia paniculata,Twining Screwstem,Safe
Vascular Plant,Bartonia paniculata ssp. paniculata,Twining Screwstem,Safe
Vascular Plant,Bartonia virginica,"Bartonia, Yellow Screwstem",Safe
Vascular Plant,Frasera caroliniensis,American Columbo,Safe
Vascular Plant,Gentiana clausa,Bottle Gentian,Safe
Vascular Plant,Gentiana decora,"Mountain Gentian, Showy Gentian",Safe
Vascular Plant,Gentiana linearis,"Linear-Leaved Gentian, Narrow-Leaved Gentian",Safe
Vascular Plant,Gentiana saponaria,"Soap Gentian, Soapwort Gentian",Safe
Vascular Plant,Gentiana villosa,"Hairy Gentian, Striped Gentian",Safe
Vascular Plant,Gentianella quinquefolia ssp. quinquefolia,Stiff Gentian,Safe
Vascular Plant,Obolaria virginica,"Pennywort, Virginia Pennywort",Safe
Vascular Plant,Sabatia angularis,"Rose-Pink, Square-Stemmed Rose Pink",Safe
Vascular Plant,Sabatia campanulata,"Campanulate Sabatia, Slender Marsh Pink",Safe
Vascular Plant,Spigelia marilandica,"Indian Pink, Woodland Pinkroot",Safe
Vascular Plant,Cephalanthus occidentalis,"Buttonbush, Common Buttonbush",Safe
Vascular Plant,Cruciata pedemontana,"Narrow Bedstraw, Piedmont Bedstraw",Safe
Vascular Plant,Diodia teres,Rough Buttonweed,Safe
Vascular Plant,Diodia virginiana,"Larger Button-Weed, Virginia Buttonweed",Safe
Vascular Plant,Galium aparine,"Catchweed Bedstraw, Cleavers",Safe
Vascular Plant,Galium asprellum,Rough Bedstraw,Safe
Vascular Plant,Galium circaezans,Wild Licorice,Safe
Vascular Plant,Galium concinnum,Shining Bedstraw,Safe
Vascular Plant,Galium lanceolatum,"Torrey's Wild Licorice, Yellow Wild Licorice",Safe
Vascular Plant,Galium latifolium,"Broad-Leaved Bedstraw, Purple Bedstraw",Safe
Vascular Plant,Galium obtusum,"Blunt-Leaf Bedstraw, Blunt-Leaved Bedstraw",Safe
Vascular Plant,Galium pedemontana,Narrow Bedstraw,Safe
Vascular Plant,Galium pilosum,Hairy Bedstraw,Safe
